57162,57232
57283,57353
57413,57473
57544,57599
57674,57724
57800,57855
57930,57980
58066,58116
58201,58241
58332,58377
58463,58508
58588,58633
58719,58764
58844,58894
58975,59025
59110,59155
59246,59291
59376,59416
59507,59552
59637,59682
59768,59813
59888,59943
60024,60069
60159,60204
60295,60335
60431,60471
60561,60606
60692,60737
60827,60872
60963,61013
61093,61143
61224,61279
61359,61414
61490,61555
61625,61690
61761,61831
61901,61961
62037,62102
62177,62237
62318,62383
62458,62523
62604,62669
62750,62805
62885,62950
63021,63096
63156,63231
63302,63377
63452,63522
63598,63653
63733,63793
63874,63924
64009,64059
64140,64200
64280,64335
64416,64471
64551,64606
64692,64742
64832,64887
64963,65028
65103,65158
65244,65294
65379,65449
65525,65585
65665,65725
65806,65871
65941,66016
66092,66162
66233,66308
66373,66448
66519,66589
66664,66734
66810,66870
66950,67010
67101,67146
67236,67296
67382,67437
67522,67587
67668,67733
67813,67873
67959,68014
68104,68159
68245,68315
68396,68461
68536,68611
68672,68732
